date,symbol,open,high,low,close,volume
2023-01-03,wheat_fut,786.0,794.5,769.75,775.5,50138
2023-01-04,wheat_fut,780.5,780.5,744.25,745.5,51975
2023-01-05,wheat_fut,746.0,752.0,736.0,746.75,36793
2023-01-06,wheat_fut,748.5,756.75,742.5,743.5,28671
2023-01-09,wheat_fut,748.0,758.0,740.25,741.5,45486
2023-01-10,wheat_fut,741.25,742.5,720.5,731.0,59339
2023-01-11,wheat_fut,730.25,742.25,724.5,740.0,37156
2023-01-12,wheat_fut,739.0,747.25,723.0,742.75,64694
2023-01-13,wheat_fut,743.5,748.5,737.25,743.75,34226
2023-01-17,wheat_fut,742.5,755.75,728.75,751.75,48648
2023-01-18,wheat_fut,749.0,760.25,740.25,742.5,45150
2023-01-19,wheat_fut,741.75,748.75,733.5,734.5,39217
2023-01-20,wheat_fut,735.0,743.0,727.75,741.5,35444
2023-01-23,wheat_fut,738.0,740.5,712.5,720.0,63999
2023-01-24,wheat_fut,720.5,739.0,719.75,734.5,44243
2023-01-25,wheat_fut,735.0,746.5,734.75,741.25,41249
2023-01-26,wheat_fut,741.0,758.0,738.0,752.5,47206
2023-01-27,wheat_fut,752.25,753.25,744.25,750.0,41125
2023-01-30,wheat_fut,753.0,762.5,743.5,752.5,43812
2023-01-31,wheat_fut,752.5,766.75,742.0,761.25,59637
2023-02-01,wheat_fut,760.75,762.5,744.5,759.75,60025
2023-02-02,wheat_fut,757.5,770.75,750.5,761.0,59106
2023-02-03,wheat_fut,759.75,776.5,750.75,756.75,72367
2023-02-06,wheat_fut,758.0,766.5,745.5,750.25,56431
2023-02-07,wheat_fut,750.0,757.0,744.25,749.75,70662
2023-02-08,wheat_fut,750.0,766.0,747.75,764.75,90201
2023-02-09,wheat_fut,764.75,770.5,754.75,757.25,75196
2023-02-10,wheat_fut,755.0,790.0,755.0,786.0,109946
2023-02-13,wheat_fut,789.0,796.0,776.0,792.0,88266
2023-02-14,wheat_fut,790.0,797.5,783.5,786.0,64638
2023-02-15,wheat_fut,786.0,787.25,766.75,769.25,55479
2023-02-16,wheat_fut,767.5,771.5,762.25,765.0,34054
2023-02-17,wheat_fut,765.0,771.5,759.5,765.5,32055
2023-02-21,wheat_fut,765.75,773.25,749.5,750.5,49781
